X,Y,Z,dX,dY,dZ,Tangent
0.952487,0.952487,0,0.336162,0.336162,0,0.475405
0.955876,0.955876,0,0.341641,0.341641,0,0.483154
0.95932,0.95932,0,0.347062,0.347062,0,0.490819
0.962817,0.962817,0,0.352423,0.352423,0,0.498401
0.966368,0.966368,0,0.357725,0.357725,0,0.505899
0.969971,0.969971,0,0.362968,0.362968,0,0.513314
0.973627,0.973627,0,0.368152,0.368152,0,0.520645
0.977334,0.977334,0,0.373276,0.373276,0,0.527892
0.981092,0.981092,0,0.378342,0.378342,0,0.535056
0.984901,0.984901,0,0.383348,0.383348,0,0.542136
0.988759,0.988759,0,0.388295,0.388295,0,0.549132
0.992666,0.992666,0,0.393183,0.393183,0,0.556045
0.996622,0.996622,0,0.398012,0.398012,0,0.562874
1.00063,1.00063,0,0.402782,0.402782,0,0.56962
1.00468,1.00468,0,0.407492,0.407492,0,0.576281
1.00878,1.00878,0,0.412144,0.412144,0,0.58286
1.01292,1.01292,0,0.416736,0.416736,0,0.589354
1.01711,1.01711,0,0.421269,0.421269,0,0.595765
1.02135,1.02135,0,0.425744,0.425744,0,0.602092
1.02563,1.02563,0,0.430158,0.430158,0,0.608336
1.02995,1.02995,0,0.434514,0.434514,0,0.614496
1.03432,1.03432,0,0.438811,0.438811,0,0.620572
1.03872,1.03872,0,0.443048,0.443048,0,0.626565
1.04318,1.04318,0,0.447227,0.447227,0,0.632474
1.04767,1.04767,0,0.451346,0.451346,0,0.6383
1.0522,1.0522,0,0.455406,0.455406,0,0.644041
1.05678,1.05678,0,0.459407,0.459407,0,0.6497
1.06139,1.06139,0,0.463349,0.463349,0,0.655274
1.06604,1.06604,0,0.467231,0.467231,0,0.660765
1.07074,1.07074,0,0.471055,0.471055,0,0.666172
1.07546,1.07546,0,0.474819,0.474819,0,0.671496
1.08023,1.08023,0,0.478525,0.478525,0,0.676736
1.08504,1.08504,0,0.482171,0.482171,0,0.681892
1.08987,1.08987,0,0.485758,0.485758,0,0.686965
1.09475,1.09475,0,0.489285,0.489285,0,0.691954
1.09966,1.09966,0,0.492754,0.492754,0,0.69686
1.1046,1.1046,0,0.496164,0.496164,0,0.701681
1.10958,1.10958,0,0.499514,0.499514,0,0.70642
1.11459,1.11459,0,0.502805,0.502805,0,0.711074
1.11964,1.11964,0,0.506037,0.506037,0,0.715645
1.12472,1.12472,0,0.50921,0.50921,0,0.720132
1.12982,1.12982,0,0.512324,0.512324,0,0.724536
1.13496,1.13496,0,0.515379,0.515379,0,0.728856
1.14013,1.14013,0,0.518374,0.518374,0,0.733092
